objectid;id_medidor;fecha;energia_kw;potencia_k;hora
87731;4;4/10/2019;205844.00;95.62;17:30
87737;4;4/10/2019;205849.00;92.06;17:45
87744;4;4/10/2019;205853.00;90.50;18:00
87751;4;4/10/2019;205858.00;67.66;18:15
87764;4;4/10/2019;205861.00;71.64;18:30
87771;4;4/10/2019;205865.00;66.76;18:45
87777;4;4/10/2019;205868.00;64.68;19:00
87784;4;4/10/2019;205871.00;64.64;19:15
87790;4;4/10/2019;205874.00;49.20;19:30
87797;4;4/10/2019;205877.00;45.38;19:45
87804;4;4/10/2019;205879.00;44.60;20:00
87810;4;4/10/2019;205881.00;44.82;20:15
87816;4;4/10/2019;205883.00;42.32;20:30
87823;4;4/10/2019;205885.00;44.56;20:45
87829;4;4/10/2019;205888.00;42.84;21:00
87835;4;4/10/2019;205890.00;44.24;21:15
87842;4;4/10/2019;205892.00;41.90;21:30
87849;4;4/10/2019;205894.00;43.00;21:45
87862;4;4/10/2019;205896.00;42.88;22:00
87869;4;4/10/2019;205898.00;42.64;22:15
87875;4;4/10/2019;205901.00;44.72;22:30
87882;4;4/10/2019;205903.00;43.10;22:45
87888;4;4/10/2019;205905.00;44.74;23:00
87895;4;4/10/2019;205907.00;43.22;23:15
87902;4;4/10/2019;205909.00;42.80;23:30
87908;4;4/10/2019;205911.00;43.70;23:45
87914;4;5/10/2019;205914.00;43.18;0:00
87921;4;5/10/2019;205916.00;43.34;0:15
87927;4;5/10/2019;205918.00;42.84;0:30
87933;4;5/10/2019;205920.00;43.46;0:45
87940;4;5/10/2019;205922.00;43.82;1:00
87947;4;5/10/2019;205924.00;43.32;1:15
87960;4;5/10/2019;205927.00;43.26;1:30
87967;4;5/10/2019;205929.00;43.28;1:45
87973;4;5/10/2019;205931.00;43.40;2:00
87980;4;5/10/2019;205933.00;45.20;2:15
87986;4;5/10/2019;205935.00;43.54;2:30
87993;4;5/10/2019;205938.00;45.58;2:45
88000;4;5/10/2019;205940.00;43.44;3:00
88006;4;5/10/2019;205942.00;45.56;3:15
88012;4;5/10/2019;205944.00;43.80;3:30
88019;4;5/10/2019;205946.00;45.38;3:45
88025;4;5/10/2019;205949.00;43.58;4:00
88031;4;5/10/2019;205951.00;43.30;4:15
88038;4;5/10/2019;205953.00;43.54;4:30
88044;4;5/10/2019;205955.00;43.30;4:45
88057;4;5/10/2019;205957.00;42.88;5:00
88064;4;5/10/2019;205960.00;43.34;5:15
88070;4;5/10/2019;205962.00;42.46;5:30
88077;4;5/10/2019;205964.00;43.24;5:45
88083;4;5/10/2019;205966.00;48.40;6:00
88090;4;5/10/2019;205968.00;36.46;6:15
88097;4;5/10/2019;205970.00;35.86;6:30
88103;4;5/10/2019;205972.00;35.30;6:45
88109;4;5/10/2019;205974.00;35.62;7:00
88116;4;5/10/2019;205976.00;42.90;7:15
88122;4;5/10/2019;205978.00;38.00;7:30
88128;4;5/10/2019;205980.00;43.80;7:45
88135;4;5/10/2019;205982.00;44.82;8:00
88142;4;5/10/2019;205984.00;34.92;8:15
88155;4;5/10/2019;205986.00;30.20;8:30
88162;4;5/10/2019;205988.00;36.70;8:45
88168;4;5/10/2019;205989.00;33.86;9:00
88175;4;5/10/2019;205991.00;33.54;9:15
88181;4;5/10/2019;205993.00;27.20;9:30
88188;4;5/10/2019;205994.00;27.18;9:45
88195;4;5/10/2019;205996.00;28.90;10:00
88201;4;5/10/2019;205997.00;27.06;10:15
88207;4;5/10/2019;205999.00;27.84;10:30
88214;4;5/10/2019;206000.00;31.22;10:45
88220;4;5/10/2019;206002.00;31.82;11:00
88226;4;5/10/2019;206004.00;40.98;11:15
88233;4;5/10/2019;206005.00;30.94;11:30
88240;4;5/10/2019;206007.00;30.14;11:45
88253;4;5/10/2019;206008.00;31.12;12:00
88260;4;5/10/2019;206010.00;30.44;12:15
88266;4;5/10/2019;206011.00;29.16;12:30
88273;4;5/10/2019;206013.00;31.74;12:45
88279;4;5/10/2019;206015.00;51.78;13:00
88286;4;5/10/2019;206017.00;39.96;13:15
88293;4;5/10/2019;206019.00;42.20;13:30
88299;4;5/10/2019;206021.00;40.58;13:45
88305;4;5/10/2019;206024.00;40.06;14:00
88312;4;5/10/2019;206026.00;34.90;14:15
88318;4;5/10/2019;206028.00;43.40;14:30
88324;4;5/10/2019;206030.00;44.30;14:45
88331;4;5/10/2019;206032.00;38.58;15:00
88338;4;5/10/2019;206034.00;38.40;15:15
88351;4;5/10/2019;206036.00;37.28;15:30
88358;4;5/10/2019;206038.00;44.00;15:45
88364;4;5/10/2019;206040.00;36.20;16:00
88371;4;5/10/2019;206042.00;36.42;16:15
88377;4;5/10/2019;206044.00;35.36;16:30
88384;4;5/10/2019;206045.00;35.74;16:45
88391;4;5/10/2019;206047.00;29.34;17:00
88397;4;5/10/2019;206048.00;25.84;17:15
88403;4;5/10/2019;206050.00;25.42;17:30
88410;4;5/10/2019;206051.00;25.30;17:45
88416;4;5/10/2019;206052.00;25.58;18:00
88422;4;5/10/2019;206054.00;27.56;18:15
88429;4;5/10/2019;206055.00;25.74;18:30
88436;4;5/10/2019;206056.00;25.36;18:45
88449;4;5/10/2019;206058.00;27.48;19:00
88456;4;5/10/2019;206059.00;25.36;19:15
88462;4;5/10/2019;206060.00;25.26;19:30
88469;4;5/10/2019;206061.00;26.32;19:45
88475;4;5/10/2019;206063.00;25.40;20:00
88482;4;5/10/2019;206064.00;27.80;20:15
88489;4;5/10/2019;206065.00;25.64;20:30
88495;4;5/10/2019;206067.00;27.62;20:45
88500;4;5/10/2019;206068.00;26.02;21:00
88507;4;5/10/2019;206069.00;25.74;21:15
88513;4;5/10/2019;206071.00;25.14;21:30
88519;4;5/10/2019;206072.00;26.18;21:45
88526;4;5/10/2019;206073.00;28.42;22:00
88533;4;5/10/2019;206075.00;25.90;22:15
88546;4;5/10/2019;206076.00;26.42;22:30
88553;4;5/10/2019;206077.00;26.16;22:45
88559;4;5/10/2019;206079.00;26.00;23:00
88566;4;5/10/2019;206080.00;25.80;23:15
88572;4;5/10/2019;206081.00;26.22;23:30
88579;4;5/10/2019;206083.00;27.94;23:45
88586;4;6/10/2019;206084.00;26.12;0:00
88592;4;6/10/2019;206085.00;28.28;0:15
88598;4;6/10/2019;206087.00;26.44;0:30
88605;4;6/10/2019;206088.00;27.98;0:45
88611;4;6/10/2019;206089.00;25.96;1:00
88617;4;6/10/2019;206091.00;27.60;1:15
88624;4;6/10/2019;206092.00;26.32;1:30
88631;4;6/10/2019;206093.00;26.36;1:45
88644;4;6/10/2019;206095.00;25.74;2:00
88651;4;6/10/2019;206096.00;26.26;2:15
88656;4;6/10/2019;206097.00;26.32;2:30
88662;4;6/10/2019;206099.00;25.56;2:45
88668;4;6/10/2019;206100.00;25.48;3:00
88675;4;6/10/2019;206101.00;25.92;3:15
88682;4;6/10/2019;206102.00;25.28;3:30
88688;4;6/10/2019;206104.00;25.68;3:45
88694;4;6/10/2019;206105.00;25.62;4:00
88701;4;6/10/2019;206106.00;25.84;4:15
88707;4;6/10/2019;206108.00;25.68;4:30
88713;4;6/10/2019;206109.00;25.72;4:45
88720;4;6/10/2019;206110.00;25.34;5:00
88726;4;6/10/2019;206112.00;25.84;5:15
88739;4;6/10/2019;206113.00;25.04;5:30
88746;4;6/10/2019;206114.00;25.32;5:45
88752;4;6/10/2019;206115.00;25.18;6:00
88759;4;6/10/2019;206117.00;25.58;6:15
88765;4;6/10/2019;206118.00;25.58;6:30
88772;4;6/10/2019;206119.00;25.02;6:45
88779;4;6/10/2019;206121.00;25.34;7:00
88785;4;6/10/2019;206122.00;25.32;7:15
88791;4;6/10/2019;206123.00;25.50;7:30
88798;4;6/10/2019;206124.00;25.64;7:45
88804;4;6/10/2019;206126.00;25.06;8:00
88810;4;6/10/2019;206127.00;25.26;8:15
88817;4;6/10/2019;206128.00;26.98;8:30
88824;4;6/10/2019;206130.00;25.16;8:45
88837;4;6/10/2019;206131.00;27.10;9:00
88844;4;6/10/2019;206132.00;25.86;9:15
88850;4;6/10/2019;206134.00;25.94;9:30
88857;4;6/10/2019;206135.00;28.14;9:45
88863;4;6/10/2019;206136.00;25.52;10:00
88870;4;6/10/2019;206137.00;27.18;10:15
88877;4;6/10/2019;206139.00;25.68;10:30
88883;4;6/10/2019;206140.00;26.02;10:45
88889;4;6/10/2019;206141.00;27.66;11:00
88896;4;6/10/2019;206143.00;25.60;11:15
88902;4;6/10/2019;206144.00;25.22;11:30
88908;4;6/10/2019;206145.00;27.46;11:45
88915;4;6/10/2019;206147.00;25.20;12:00
88922;4;6/10/2019;206148.00;25.44;12:15
88935;4;6/10/2019;206149.00;27.44;12:30
88942;4;6/10/2019;206151.00;25.50;12:45
88948;4;6/10/2019;206152.00;25.32;13:00
88955;4;6/10/2019;206153.00;27.56;13:15
88961;4;6/10/2019;206155.00;25.78;13:30
88968;4;6/10/2019;206156.00;25.40;13:45
88975;4;6/10/2019;206157.00;27.82;14:00
88981;4;6/10/2019;206159.00;25.82;14:15
88987;4;6/10/2019;206160.00;24.94;14:30
